num_of_points,area
100,0.9125
600,0.925
1100,0.927273
1600,0.95625
2100,0.948214
2600,0.950481
3100,0.942339
3600,0.96875
4100,0.937805
4600,0.94538
5100,0.937255
5600,0.938839
6100,0.951434
6600,0.941856
7100,0.942782
7600,0.944243
8100,0.947377
8600,0.944331
9100,0.944918
9600,0.94349
10100,0.937129
10600,0.938208
11100,0.947635
11600,0.943534
12100,0.937293
12600,0.93502
13100,0.949141
13600,0.93989
14100,0.939628
14600,0.946404
15100,0.944288
15600,0.944231
16100,0.940528
16600,0.948419
17100,0.949927
17600,0.944744
18100,0.946271
18600,0.944691
19100,0.951178
19600,0.938648
20100,0.947512
20600,0.945146
21100,0.947156
21600,0.944792
22100,0.94293
22600,0.93844
23100,0.946861
23600,0.947987
24100,0.941649
24600,0.945681
25100,0.943177
25600,0.943408
26100,0.946839
26600,0.942293
27100,0.940959
27600,0.946739
28100,0.94444
28600,0.946809
29100,0.94012
29600,0.945777
30100,0.945847
30600,0.947508
31100,0.94574
31600,0.947547
32100,0.951207
32600,0.941564
33100,0.946224
33600,0.946652
34100,0.944721
34600,0.943172
35100,0.945121
35600,0.944382
36100,0.943975
36600,0.941633
37100,0.946867
37600,0.947174
38100,0.943635
38600,0.943135
39100,0.942072
39600,0.947254
40100,0.943984
40600,0.943565
41100,0.943187
41600,0.944111
42100,0.946437
42600,0.940933
43100,0.943242
43600,0.948337
44100,0.944586
44600,0.944787
45100,0.946286
45600,0.945696
46100,0.945038
46600,0.941872
47100,0.945409
47600,0.944039
48100,0.944777
48600,0.94393
49100,0.94137
49600,0.944884
50100,0.947929
50600,0.943725
51100,0.943175
51600,0.942829
52100,0.945274
52600,0.945817
53100,0.943103
53600,0.946922
54100,0.946881
54600,0.948466
55100,0.941243
55600,0.943278
56100,0.946546
56600,0.943794
57100,0.942185
57600,0.943772
58100,0.944449
58600,0.942875
59100,0.945918
59600,0.942764
60100,0.944093
60600,0.944575
61100,0.943331
61600,0.946652
62100,0.94374
62600,0.943391
63100,0.945246
63600,0.942866
64100,0.950449
64600,0.943885
65100,0.945238
65600,0.942664
66100,0.944384
66600,0.943506
67100,0.945082
67600,0.940052
68100,0.948697
68600,0.944953
69100,0.94555
69600,0.943481
70100,0.94408
70600,0.94136
