size,random5,reversed5,almost_sorted5,random10,reversed10,almost_sorted10,random15,reversed15,almost_sorted15,random30,reversed30,almost_sorted30,random100,reversed100,almost_sorted100
500,103,105,105,80,78,78,86,78,77,63,62,61,41,45,37
600,144,144,150,104,102,101,96,92,91,75,74,75,51,56,45
700,174,175,170,135,136,135,107,105,109,92,86,84,60,69,56
800,198,194,190,152,151,151,121,119,118,98,98,98,82,85,76
900,209,205,205,165,162,162,137,134,132,111,111,106,93,98,86
1000,227,222,226,181,177,176,183,178,187,149,145,144,104,111,96
1100,272,264,264,198,193,193,198,194,190,162,159,154,115,124,106
1200,316,311,309,233,228,228,214,209,208,176,174,170,126,140,115
1300,359,356,356,288,283,274,232,224,222,195,188,187,145,151,124
1400,384,380,369,302,297,293,247,240,240,204,213,197,149,166,136
1500,397,398,389,321,310,318,261,262,254,223,221,210,168,185,146
1600,419,411,411,338,334,329,276,271,272,231,234,224,198,205,186
1700,436,428,429,352,344,344,292,285,283,246,247,236,210,222,199
1800,466,455,452,384,361,365,312,306,304,260,260,250,224,233,209
1900,475,469,462,387,378,379,378,370,368,308,304,292,238,249,208
2000,494,489,487,404,395,395,404,396,395,347,332,329,250,265,221
2100,538,527,527,432,418,426,437,417,416,367,351,353,263,278,238
2200,595,573,579,447,441,426,448,439,442,378,366,367,276,303,272
2300,633,631,622,465,450,449,460,449,449,388,381,367,290,308,270
2400,688,682,679,518,509,515,484,469,474,404,401,397,303,334,288
2500,741,730,729,585,570,561,495,493,498,420,420,405,318,343,271
2600,772,760,758,619,606,598,513,504,492,435,431,421,331,357,280
2700,794,783,783,639,639,643,530,519,508,453,453,437,346,373,321
2800,817,802,792,658,643,645,549,537,529,477,461,444,368,389,332
2900,842,834,832,683,674,673,575,554,556,483,477,472,372,419,326
3000,871,852,844,699,685,671,586,575,570,500,511,482,391,424,338
3100,882,865,857,718,702,704,603,590,588,516,510,503,407,441,353
3200,915,897,897,749,729,717,625,615,609,533,534,515,466,486,444
3300,935,919,923,767,745,734,646,630,618,554,543,528,480,492,441
3400,947,927,927,779,758,746,656,646,631,571,559,550,495,524,479
3500,974,953,957,804,786,789,673,663,655,589,582,564,513,526,487
3600,998,976,965,817,799,810,701,685,665,604,604,573,525,541,469
3700,1012,993,1004,842,819,812,770,750,743,613,617,575,538,557,491
3800,1033,1025,1020,863,841,833,844,825,836,701,685,675,555,574,507
3900,1056,1033,1033,875,853,840,874,853,841,747,736,719,569,591,503
4000,1081,1068,1049,906,877,867,910,882,874,762,746,739,593,612,530
4100,1111,1088,1062,921,901,899,925,899,893,788,769,757,599,623,544
4200,1169,1143,1126,951,929,936,952,917,912,809,796,785,615,645,582
4300,1224,1202,1190,971,944,942,961,935,933,819,801,802,646,662,562
4400,1263,1251,1245,979,972,969,995,972,971,843,831,811,645,679,617
4500,1316,1284,1277,998,973,976,999,978,968,856,838,814,665,695,599
4600,1374,1344,1345,1029,1002,993,1034,1018,990,886,866,859,682,713,615
4700,1434,1396,1400,1077,1049,1036,1039,1011,997,889,873,867,691,728,627
4800,1470,1441,1452,1153,1114,1121,1064,1028,1018,908,891,869,711,749,670
4900,1540,1511,1495,1206,1189,1179,1090,1054,1057,933,923,901,726,765,685
5000,1577,1568,1548,1266,1235,1228,1099,1068,1064,945,941,912,743,787,654
5100,1649,1621,1612,1342,1298,1298,1126,1094,1079,965,953,938,764,799,689
5200,1668,1646,1644,1359,1324,1341,1144,1122,1093,988,978,953,776,823,717
5300,1697,1655,1643,1380,1337,1350,1163,1132,1121,1004,981,966,789,849,737
5400,1721,1686,1657,1396,1360,1365,1185,1157,1147,1024,1008,983,810,855,738
5500,1736,1707,1697,1428,1390,1401,1203,1169,1164,1035,1019,980,822,874,729
5600,1764,1734,1708,1449,1413,1402,1220,1214,1182,1067,1041,1014,847,901,777
5700,1790,1738,1737,1457,1419,1423,1254,1224,1213,1085,1062,1030,860,918,796
