size,random,reversed,almost_sorted
500,188,189,187
600,232,233,239
700,273,275,421
800,316,316,311
900,366,357,355
1000,398,399,395
1100,448,447,441
1200,490,499,485
1300,535,541,526
1400,594,575,566
1500,621,625,614
1600,671,669,659
1700,709,726,699
1800,825,753,744
1900,803,799,782
2000,857,848,843
2100,923,915,884
2200,947,939,924
2300,991,988,976
2400,1035,1032,1015
2500,1084,1239,1135
2600,1211,1160,1098
2700,1173,1183,1155
2800,1296,1225,1197
2900,1267,1256,1235
3000,1313,1319,1292
3100,1351,1345,1343
3200,1412,1405,1385
3300,1456,1456,1435
3400,1622,1488,1470
3500,1538,1547,1526
3600,1638,1601,1571
3700,1645,1625,1632
3800,1691,1672,1638
3900,1736,1722,1701
4000,1829,1791,1749
4100,1908,2282,2039
4200,1934,1987,1923
4300,2048,2038,2014
4400,2068,2014,2005
4500,2077,2022,1998
4600,2102,2068,2034
4700,2154,2140,2103
4800,2186,2181,2196
4900,2271,2227,2199
5000,2278,2265,2251
5100,2389,2333,2299
5200,2385,2367,2345
5300,2437,2415,2391
5400,2516,2498,2424
5500,2540,2500,2474
5600,2562,2541,2540
5700,2634,2621,2556
5800,2673,2648,2601
5900,2732,2700,2636
6000,2776,2760,2716
6100,2885,2782,2767
6200,2870,2894,2791
6300,2927,2897,2843
6400,3005,2968,2907
6500,3046,3010,2938
6600,3098,3026,2980
6700,3114,3073,3026
6800,3175,3174,3084
6900,3227,3182,3109
7000,3256,3209,3184
7100,3342,3282,3225
7200,3351,3322,3253
7300,3436,3381,3326
7400,3480,3415,3368
7500,3512,3467,3405
7600,3575,3544,3485
7700,3625,3578,3507
7800,3673,3596,3538
7900,3700,3643,3601
8000,3759,3725,3684
8100,3832,3744,3704
8200,3866,3791,3751
8300,3947,3877,3845
8400,3981,3908,3886
8500,4067,4000,3942
8600,4145,4034,3958
8700,4140,4114,4034
8800,4192,4113,4060
8900,4273,4191,4141
9000,4318,4258,4195
9100,4395,4337,4227
9200,4450,4352,4299
9300,4470,4387,4374
9400,4494,4412,4394
9500,4571,4497,4441
9600,4645,4557,4472
9700,4689,4621,4533
9800,4748,4626,4575
9900,4792,4700,4619
10000,4764,4709,4676
