size,random,reversed,almost_sorted
500,38,34,39
600,42,42,41
700,49,47,48
800,56,54,53
900,62,61,65
1000,68,73,65
1100,79,74,83
1200,81,91,79
1300,91,104,92
1400,97,93,99
1500,104,120,109
1600,111,108,107
1700,121,135,113
1800,153,120,154
1900,135,129,130
2000,145,139,142
2100,149,145,159
2200,161,155,155
2300,178,163,200
2400,174,170,190
2500,182,205,183
2600,194,213,196
2700,203,193,188
2800,214,211,244
2900,216,205,350
3000,220,221,214
3100,227,220,222
3200,309,249,227
3300,250,406,276
3400,257,250,334
3500,473,284,261
3600,274,402,349
3700,279,275,389
3800,469,371,262
3900,357,284,333
4000,348,623,443
4100,321,346,352
4200,321,358,307
4300,332,312,420
4400,336,355,391
4500,350,380,616
4600,402,552,339
4700,425,349,465
4800,432,400,419
4900,417,365,441
5000,449,550,411
5100,443,411,671
5200,454,458,653
5300,411,626,486
5400,432,424,406
5500,503,452,521
5600,437,507,856
5700,461,739,429
5800,600,539,488
5900,688,503,527
6000,867,553,489
6100,573,501,520
6200,535,483,610
6300,682,608,557
6400,986,1192,495
6500,1318,803,520
6600,788,496,716
6700,747,515,577
6800,879,1494,600
6900,712,636,1429
7000,934,606,1006
7100,1236,1100,647
7200,778,561,734
7300,945,964,768
7400,987,704,853
7500,921,1312,1190
7600,1969,598,1122
7700,639,726,707
7800,931,730,912
7900,861,823,719
8000,1061,729,745
8100,1056,961,956
8200,675,899,774
8300,682,656,640
8400,798,896,746
8500,708,765,667
8600,741,1018,688
8700,1557,689,1013
8800,736,1133,686
8900,728,917,822
9000,808,717,711
9100,762,728,808
9200,876,984,720
9300,1292,1052,1523
9400,805,925,726
9500,1030,889,828
9600,1047,774,782
9700,1331,858,1041
9800,904,935,895
9900,849,814,887
10000,850,968,900
10100,1341,1339,811
10200,1464,1368,1010
10300,1108,937,822
10400,1027,830,813
10500,1228,920,1140
10600,1068,901,1239
10700,2659,963,1026
10800,2944,1134,935
10900,1073,1230,863
11000,1377,1084,1217
11100,1411,1781,1469
11200,933,1075,1097
11300,1767,1114,901
11400,7896,9729,7465
11500,1830,1157,975
11600,1114,1787,928
11700,1173,1403,1180
11800,37106,42238,16122
11900,8295,3950,5543
12000,80771,74224,1712
12100,46856,84591,51604
12200,22745,85289,51643
12300,39895,29519,27531
12400,32535,31520,22020
12500,44322,39021,29405
12600,51339,47370,40979
12700,62342,105120,106601
12800,1138,1710,1446
12900,11087,3121,7390
13000,71560,172912,62209
13100,104105,72469,66699
13200,101992,87894,42175
13300,17595,15759,5581
13400,37108,53757,41876
13500,92989,89236,62642
13600,186526,187363,120674
13700,193468,196350,118293
13800,157108,131935,98464
13900,140845,170579,113909
14000,176360,164514,101323
14100,161179,124471,96002
14200,172007,174140,119497
14300,193375,169489,107601
14400,156412,164335,101295
14500,168309,168775,102679
14600,211565,188131,141715
14700,174979,163077,99979
14800,150542,173832,109917
14900,198428,199231,152257
15000,190690,170872,108530
