size,random,reversed,almost_sorted
500,75,74,73
600,88,89,85
700,108,103,100
800,117,118,121
900,132,132,129
1000,146,145,144
1100,164,164,161
1200,179,179,172
1300,203,192,188
1400,211,213,201
1500,221,222,219
1600,235,239,239
1700,249,259,245
1800,262,263,260
1900,283,288,281
2000,293,300,295
2100,316,313,307
2200,328,326,317
2300,340,340,333
2400,353,361,360
2500,377,371,363
2600,391,390,376
2700,410,419,409
2800,426,430,422
2900,446,447,436
3000,461,463,442
3100,478,476,467
3200,498,489,482
3300,513,500,490
3400,527,512,503
3500,530,524,507
3600,549,552,542
3700,573,569,532
3800,581,573,559
3900,591,596,583
4000,628,632,604
4100,642,640,603
4200,668,649,649
4300,674,687,658
4400,685,690,664
4500,687,695,680
4600,716,708,692
4700,740,727,713
4800,754,749,717
4900,770,770,755
5000,788,792,772
5100,808,803,795
5200,822,813,793
5300,846,829,831
5400,856,858,833
5500,890,869,841
5600,890,886,859
5700,915,903,883
5800,938,909,884
5900,928,912,894
6000,948,944,906
6100,962,952,920
6200,978,962,945
6300,997,977,969
6400,1019,1020,988
6500,1053,1036,1002
6600,1045,1033,1006
6700,1072,1049,1027
6800,1080,1051,1021
6900,1086,1080,1077
7000,1144,1125,1094
7100,1149,1137,1097
7200,1156,1128,1103
7300,1171,1157,1126
7400,1184,1163,1138
7500,1212,1176,1151
7600,1223,1202,1200
7700,1265,1233,1186
7800,1254,1233,1190
7900,1261,1251,1219
8000,1298,1268,1232
8100,1311,1283,1250
8200,1328,1307,1285
8300,1358,1326,1260
8400,1378,1325,1327
8500,1369,1331,1323
8600,1396,1372,1317
8700,1421,1392,1357
8800,1432,1391,1360
8900,1449,1412,1382
9000,1471,1425,1409
9100,1461,1471,1421
9200,1516,1480,1448
9300,1519,1478,1452
9400,1553,1509,1469
9500,1567,1537,1507
9600,1577,1558,1532
9700,1597,1586,1524
9800,1614,1565,1539
9900,1620,1605,1540
10000,5752,70993,34234
10100,1745,1678,1618
10200,2099,1883,1845
10300,2004,2032,1957
10400,2974,2164,2458
10500,2774,3678,3289
10600,2597,3315,1878
10700,3773,2542,2692
10800,1907,2425,2369
10900,3463,3130,2033
11000,2112,3302,4711
11100,10726,6002,7993
11200,10228,17193,2632
11300,11937,10348,3051
11400,2477,2976,7239
11500,5536,2302,2246
11600,10198,7536,3217
11700,9716,11369,24619
11800,11769,3034,6019
11900,8703,4535,2181
12000,13597,3722,5551
12100,2866,5599,16856
12200,7283,10892,9791
12300,3420,12017,7304
12400,6874,8100,9331
12500,2807,7264,3513
12600,22242,15264,2779
12700,5129,28200,45255
12800,6574,6886,4635
12900,28638,54073,20051
13000,29365,30329,14571
13100,9064,38494,24641
13200,19745,10554,30407
13300,2910,6060,17851
13400,20358,20845,22381
13500,4920,2418,26918
13600,8806,38533,38579
13700,14553,13550,5160
13800,5270,19780,28546
13900,34022,38521,19503
14000,14729,3669,15919
14100,12314,11842,9303
14200,7188,62144,38600
14300,8619,44551,59676
14400,22059,9324,5492
14500,6743,20684,20666
14600,5578,16463,9439
14700,18536,14081,14263
14800,15507,15323,5117
14900,25580,83384,39134
15000,9139,9048,8330
